"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "MS SQL", "comment", "blank", "total"
"c:\Users\Acer\Desktop\FYP\Backend\controller\appointmentController.js", "JavaScript", 38, 0, 0, 0, 6, 3, 47
"c:\Users\Acer\Desktop\FYP\Backend\controller\cartController.js", "JavaScript", -9, 0, 0, 0, 1, -3, -11
"c:\Users\Acer\Desktop\FYP\Backend\controller\productController.js", "JavaScript", 13, 0, 0, 0, 0, 2, 15
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250426102120_add_category_to_product\migration.sql", "MS SQL", 0, 0, 0, 1, 7, 1, 9
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250427073634_add_stock_field\migration.sql", "MS SQL", 0, 0, 0, 1, 7, 1, 9
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\ServiceCard.jsx", "JavaScript JSX", 0, 16, 0, 0, 1, 0, 17
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\BookNowPage.jsx", "JavaScript JSX", 0, 14, 0, 0, 1, 0, 15
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\ProductPage.jsx", "JavaScript JSX", 0, 120, 0, 0, 11, 20, 151
"c:\Users\Acer\Desktop\FYP\admin\package-lock.json", "JSON", 0, 0, 11, 0, 0, 0, 11
"c:\Users\Acer\Desktop\FYP\admin\package.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\Acer\Desktop\FYP\admin\src\components\AddProduct.jsx", "JavaScript JSX", 0, 46, 0, 0, 0, 3, 49
"c:\Users\Acer\Desktop\FYP\admin\src\components\ProductList.jsx", "JavaScript JSX", 0, 69, 0, 0, -20, 7, 56
"c:\Users\Acer\Desktop\FYP\admin\src\components\SideNavbar.jsx", "JavaScript JSX", 0, -39, 0, 0, 4, 1, -34
"c:\Users\Acer\Desktop\FYP\admin\tailwind.config.js", "JavaScript", 3, 0, 0, 0, 0, 1, 4
"Total", "-", 45, 226, 12, 2, 18, 36, 339
