"filename", "language", "JSON", "JavaScript", "Properties", "HTML", "JavaScript JSX", "Markdown", "CSS", "XML", "MS SQL", "comment", "blank", "total"
"c:\Users\Acer\Desktop\FYP\.env", "Properties", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Acer\Desktop\FYP\Backend\Middleware\adminAuthmiddleware.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\Users\Acer\Desktop\FYP\Backend\Middleware\authMiddleware.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 7, 37
"c:\Users\Acer\Desktop\FYP\Backend\controller\appointmentController.js", "JavaScript", 0, 236, 0, 0, 0, 0, 0, 0, 0, 20, 46, 302
"c:\Users\Acer\Desktop\FYP\Backend\controller\authController.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 9, 42
"c:\Users\Acer\Desktop\FYP\Backend\controller\cartController.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 19, 24, 135
"c:\Users\Acer\Desktop\FYP\Backend\controller\customerController.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 14, 58
"c:\Users\Acer\Desktop\FYP\Backend\controller\dashboardController.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Acer\Desktop\FYP\Backend\controller\orderController.js", "JavaScript", 0, 166, 0, 0, 0, 0, 0, 0, 0, 10, 30, 206
"c:\Users\Acer\Desktop\FYP\Backend\controller\paymentController.js", "JavaScript", 0, 157, 0, 0, 0, 0, 0, 0, 0, 3, 30, 190
"c:\Users\Acer\Desktop\FYP\Backend\controller\productController.js", "JavaScript", 0, 139, 0, 0, 0, 0, 0, 0, 0, 10, 27, 176
"c:\Users\Acer\Desktop\FYP\Backend\controller\profileController.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 7, 21, 115
"c:\Users\Acer\Desktop\FYP\Backend\controller\userController.js", "JavaScript", 0, 355, 0, 0, 0, 0, 0, 0, 0, 73, 57, 485
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20241124073320_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 36, 7, 11, 54
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250126061735_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 35, 29, 13, 77
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250303090504_add_appointment\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 2, 12
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250310071859_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 3, 18
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250310073940_add_users\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 3, 13
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250311082231_update_appointment_model\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250328180423_add_product\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 21, 17, 7, 45
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250329104051_add_table\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 8, 38
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250407095913_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 20, 17, 5, 42
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250415090841_add_payment_model\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 3, 18
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250415093151_update_payment_model\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 2, 12
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250422055957_fix_customer_userid\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 3, 15
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250423052128_add_created_at_to_appointment\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250423060212_updte_appoinment\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250426102120_add_category_to_product\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250427073634_add_stock_field\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"c:\Users\Acer\Desktop\FYP\Backend\routes\adminRoutes.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
