Date : 2025-04-28 09:53:11
Directory : c:\Users\Acer\Desktop\FYP
Total : 120 files,  22142 codes, 373 comments, 911 blanks, all 23426 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          8 |     15,820 |          0 |         10 |     15,830 |
| JavaScript JSX |         53 |      4,299 |         75 |        472 |      4,846 |
| JavaScript     |         30 |      1,709 |        165 |        336 |      2,210 |
| MS SQL         |         16 |        180 |        132 |         65 |        377 |
| CSS            |          4 |         80 |          0 |         14 |         94 |
| HTML           |          2 |         30 |          1 |          3 |         34 |
| Markdown       |          2 |         12 |          0 |         10 |         22 |
| Properties     |          1 |          8 |          0 |          1 |          9 |
| XML            |          4 |          4 |          0 |          0 |          4 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        120 |     22,142 |        373 |        911 |     23,426 |
| . (Files)                                                                                                      |          3 |      2,793 |          0 |          3 |      2,796 |
| Backend                                                                                                        |         38 |      1,764 |        293 |        387 |      2,444 |
| Backend (Files)                                                                                                |          1 |         65 |          1 |         11 |         77 |
| Backend\Middleware                                                                                             |          2 |         44 |          4 |         11 |         59 |
| Backend\controller                                                                                             |         10 |      1,341 |        151 |        262 |      1,754 |
| Backend\prisma                                                                                                 |         16 |        180 |        132 |         65 |        377 |
| Backend\prisma\migrations                                                                                      |         16 |        180 |        132 |         65 |        377 |
| Backend\prisma\migrations\20241124073320_init                                                                  |          1 |         36 |          7 |         11 |         54 |
| Backend\prisma\migrations\20250126061735_init                                                                  |          1 |         35 |         29 |         13 |         77 |
| Backend\prisma\migrations\20250303090504_add_appointment                                                       |          1 |          9 |          1 |          2 |         12 |
| Backend\prisma\migrations\20250310071859_init                                                                  |          1 |          4 |         11 |          3 |         18 |
| Backend\prisma\migrations\20250310073940_add_users                                                             |          1 |          8 |          2 |          3 |         13 |
| Backend\prisma\migrations\20250311082231_update_appointment_model                                              |          1 |          1 |          1 |          1 |          3 |
| Backend\prisma\migrations\20250328180423_add_product                                                           |          1 |         21 |         17 |          7 |         45 |
| Backend\prisma\migrations\20250329104051_add_table                                                             |          1 |         24 |          6 |          8 |         38 |
| Backend\prisma\migrations\20250407095913_init                                                                  |          1 |         20 |         17 |          5 |         42 |
| Backend\prisma\migrations\20250415090841_add_payment_model                                                     |          1 |         13 |          2 |          3 |         18 |
| Backend\prisma\migrations\20250415093151_update_payment_model                                                  |          1 |          2 |          8 |          2 |         12 |
| Backend\prisma\migrations\20250422055957_fix_customer_userid                                                   |          1 |          3 |          9 |          3 |         15 |
| Backend\prisma\migrations\20250423052128_add_created_at_to_appointment                                         |          1 |          1 |          1 |          1 |          3 |
| Backend\prisma\migrations\20250423060212_updte_appoinment                                                      |          1 |          1 |          7 |          1 |          9 |
| Backend\prisma\migrations\20250426102120_add_category_to_product                                               |          1 |          1 |          7 |          1 |          9 |
| Backend\prisma\migrations\20250427073634_add_stock_field                                                       |          1 |          1 |          7 |          1 |          9 |
| Backend\routes                                                                                                 |          9 |        134 |          5 |         38 |        177 |
| BeautyGaloreSalon                                                                                              |         52 |     11,345 |         62 |        360 |     11,767 |
| BeautyGaloreSalon (Files)                                                                                      |          8 |      7,569 |          3 |         15 |      7,587 |
| BeautyGaloreSalon\public                                                                                       |          1 |          1 |          0 |          0 |          1 |
| BeautyGaloreSalon\src                                                                                          |         43 |      3,775 |         59 |        345 |      4,179 |
| BeautyGaloreSalon\src (Files)                                                                                  |          4 |        119 |          0 |         13 |        132 |
| BeautyGaloreSalon\src\assets                                                                                   |          1 |          1 |          0 |          0 |          1 |
| BeautyGaloreSalon\src\components                                                                               |         12 |      1,148 |         19 |        108 |      1,275 |
| BeautyGaloreSalon\src\data                                                                                     |          2 |        601 |          0 |          4 |        605 |
| BeautyGaloreSalon\src\layout                                                                                   |          4 |         40 |          0 |          9 |         49 |
| BeautyGaloreSalon\src\pages                                                                                    |         20 |      1,866 |         40 |        211 |      2,117 |
| BeautyGaloreSalon\src\pages (Files)                                                                            |          5 |        344 |         15 |         40 |        399 |
| BeautyGaloreSalon\src\pages\cart                                                                               |          2 |        271 |          4 |         34 |        309 |
